headline,guardian_keywords,esg_category
Aston Martin setting up electric car joint venture with Chinese group ,"['environment', 'greenhouse gas emissions', 'pollution']",environmental
Melbourne's plane trees to be replaced by species resistant to climate change ,"['environment', 'climate change']",environmental
Australian bushfires are a warning to the world | Letters ,"['climate change', 'climate change', 'environment']",environmental
Climate emissions from tropical forest damage 'underestimated by a factor of six' ,"['greenhouse gas emissions', 'environment', 'climate change', 'climate change']",environmental
Unpalatable truths about laboratory-grown food | Letters ,"['environment', 'climate change']",environmental
Sri Lankan bowler vomits in Delhi cricket match due to polluted air ,"['environment', 'air pollution']",environmental
"Climate crisis will affect lifelong health of young, warn doctors ","['climate change', 'climate change', 'environment']",environmental
An oasis as drought turns lush California to desert ,"['climate change', 'environment', 'climate change']",environmental
Carlsberg aims for zero carbon emissions at its breweries by 2030 ,"['environment', 'climate change', 'greenhouse gas emissions']",environmental
Infants exposed to air pollution have less lung power as adolescents – study ,"['air pollution', 'pollution', 'environment']",environmental
Fatbergs: 90% of London restaurants are contributing to problem ,"['waste', 'environment']",environmental
No 10 and Treasury clash over spending on environmental agenda ,['greenhouse gas emissions'],environmental
Campaigners call for UK and EU bans on plastic 'sample' sachets ,"['plastics', 'waste', 'environment']",environmental
Scotland Yard defends response to climate change protests ,"['climate change', 'environment']",environmental
India's pledge clears a significant hurdle towards a climate deal in Paris ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
First climate assembly in UK draws up wishlist for council action ,"['climate change', 'environment']",environmental
A trail of toxicity: the US military bases making people sick ,"['environment', 'pollution']",environmental
Covid turns tide on India's Ganesh festival traditions ,"['environment', 'pollution']",environmental
Thousands were paid to use extra renewable electricity on windy weekend ,"['renewable energy', 'environment']",environmental
BP Deepwater Horizon fine capped at $13.8bn ,"['pollution', 'environment']",environmental
Images of new bleaching on Great Barrier Reef heighten fears of coral death ,"['environment', 'climate change']",environmental
'It's never the science itself': Why conservatives doubt climate change and vaccines ,"['climate change', 'environment']",environmental
"Monopoly houses, toy soldiers and Lego: the museum of plastic lost at sea ","['environment', 'plastics']",environmental
Colombian farmers' court case against BP nears verdict ,"['pollution', 'environment']",environmental
UK companies to invest £12bn in switch to electric vehicles ,"['environment', 'greenhouse gas emissions', 'climate change']",environmental
Don't politicise the bushfires? The alternative is to sit back while more severe events happen | Greg Jericho ,"['climate change', 'climate change']",environmental
World's largest floating windfarm to be built off Scottish coast ,"['environment', 'renewable energy']",environmental
Don’t tip away that stale beer! | Waste Not ,"['environment', 'waste']",environmental
Sadiq Khan announces 100 new drinking fountains for London ,"['environment', 'plastics']",environmental
Protesters disrupt US panel's fossil fuels pitch at climate talks ,"['climate change', 'environment']",environmental
UK MPs call for extra £30bn to aid green recovery from Covid-19 ,"['environment', 'climate change', 'renewable energy']",environmental
Is this the future? Dutch plan vast windfarm island in North Sea ,"['renewable energy', 'environment']",environmental
Duke Energy to hand out bottled water in North Carolina after wells polluted ,"['pollution', 'environment']",environmental
Nightingales at risk due to shorter wings caused by climate crisis ,"['climate change', 'environment']",environmental
"Brexit UK should aim to be a global broker, not a great power, says report ",['climate change'],environmental
"Air pollution has major impact on children in sport, study warns ","['air pollution', 'environment']",environmental
The climate crisis leaders' debate: what did we learn? ,"['climate change', 'environment']",environmental
Wefood: the Danish supermarket opening its second expired-food branch ,"['waste', 'environment']",environmental
Kyoto protocol's carbon credit scheme ‘increased emissions by 600m tonnes’ ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
The lake that left town: why is this California community drying up? ,"['climate change', 'environment']",environmental
Would a Labour or Tory government be better for the environment? ,"['environment', 'climate change']",environmental
Direct democracy can offer a third way in the climate fight | John Gibbons ,"['climate change', 'environment']",environmental
Alaska's new climate threat: tsunamis linked to melting permafrost ,"['environment', 'climate change']",environmental
French ambassador urges Australia to join climate change battle ,"['climate change', 'climate change', 'environment']",environmental
Experience: I campaign for the extinction of the human race ,"['environment', 'climate change', 'climate change']",environmental
Better energy efficiency measures could cut UK costs by £7.5bn ,"['environment', 'pollution']",environmental
Is Napa growing too much wine? Residents seek to preserve treasured land ,"['environment', 'climate change']",environmental
UK supermarkets launch voluntary pledge to cut plastic packaging ,"['plastics', 'waste', 'environment', 'recycling']",environmental
Caution and optimism over climate pledges | Letters ,"['climate change', 'environment', 'renewable energy', 'greenhouse gas emissions']",environmental
Morrisons to trial paper bags for groceries and higher price for plastic bags ,"['plastics', 'environment', 'recycling', 'waste']",environmental
Scientists call on MPs to urgently reduce Australia's emissions amid bushfire crisis ,"['climate change', 'climate change', 'greenhouse gas emissions', 'renewable energy', 'environment']",environmental
A view of Paris from a hot air balloon: putting pollution on the climate agenda ,"['pollution', 'environment', 'greenhouse gas emissions', 'climate change']",environmental
Pollutionwatch: the fight for clean air at the school gates ,"['air pollution', 'environment', 'pollution']",environmental
Why what we eat is crucial to the climate change question | Ruth Khasaya Oniang’o ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Nobel laureates echo calls for charities to divest from fossil fuels ,"['environment', 'climate change', 'climate change']",environmental
Manchester Airports Group offers prize for first zero-carbon commercial flight ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
British farmers are not the enemy in the battle against the climate crisis | Joe Stanley ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Single use plastic bottles banned from half marathon in London ,"['plastics', 'environment']",environmental
Brain wave: the surfers who made a trashcan for the ocean ,"['environment', 'pollution']",environmental
"Decline in over three-quarters of UK butterfly species is 'final warning', says Chris Packham ","['environment', 'climate change']",environmental
"Australia's deputy prime minister, Michael McCormack, says Pacific island nations will ""survive"" the climate crisis because they can ""come here and pick our fruit"". #Exclusive video obtained by @GuardianAus:  ","['climate change', 'environment']",environmental
Campaigners launch legal challenge against UK's green recovery plans ,"['climate change', 'environment']",environmental
Alan Jones says Australian prime minister should 'shove a sock down the throat' of New Zealand PM Jacinda Ardern ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
London's new drinking fountains a splash hit ,"['plastics', 'environment']",environmental
"Climate models have accurately predicted global heating, study finds ","['climate change', 'environment']",environmental
Car industry could see price war on hybrid vehicles in 2020 ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Amazon workers demand Bezos act on climate crisis ,['climate change'],environmental
"Turkey's 12,000-year-old Hasankeyf citadel faces obliteration ","['environment', 'renewable energy']",environmental
Inequality makes climate change much harder to tackle | Larry Elliott ,"['climate change', 'environment']",environmental
Red admiral butterfly sightings at their highest UK level since 2010 ,"['environment', 'climate change']",environmental
Ganges and Yamuna rivers granted same legal rights as human beings ,"['environment', 'pollution']",environmental
"Trauma, fear and homelessness: the struggles of Paradise's fire migrants show the future of climate crisis ",['climate change'],environmental
This is my message to the western world – your civilisation is killing life on Earth | Nemonte Nenquimo ,"['environment', 'climate change']",environmental
Republicans used oil industry-backed study to criticize Deb Haaland ,"['climate change', 'environment']",environmental
"You’re failing on green energy, Tory ex-minister warns Cameron ","['renewable energy', 'environment']",environmental
How Republicans killed Oregon’s climate crisis bill – by fleeing the state ,"['climate change', 'environment']",environmental
Guardian banned from Exxon AGM for ‘lack of objectivity on climate change' ,"['climate change', 'environment']",environmental
"Oil demand will still be rising in 2035 despite electric cars, says BP ","['greenhouse gas emissions', 'climate change', 'environment']",environmental
Power to the people: why clean energy must give more Australians a slice of the pie ,"['renewable energy', 'environment']",environmental
"With the world on fire, we must act now to tackle climate change | Letters ","['climate change', 'environment', 'climate change']",environmental
Animal agriculture is choking the ?Earth and making us sick. We must act now | James Cameron and Suzy Amis Cameron ,"['environment', 'climate change']",environmental
"Is going off the grid selfish? For many, it's the only option that makes sense | Giles Parkinson ","['environment', 'renewable energy']",environmental
UK citizens’ assembly on climate emergency announced ,"['climate change', 'environment']",environmental
Thousands of British children exposed to illegal levels of air pollution ,"['pollution', 'environment', 'air pollution']",environmental
"Yes, plastic is an eco nightmare. But it’s also tired, old technology | Lucy Siegle ","['plastics', 'waste', 'pollution', 'environment']",environmental
Alaskan village votes on whether to relocate because of rising sea ,"['climate change', 'environment']",environmental
Don’t bin limp lettuce – barbecue it instead ,"['environment', 'waste']",environmental
"Plastic bag usage down 78% since introduction of 5p charge, says Tesco ","['environment', 'waste']",environmental
Delta announces $1bn plan to be first carbon neutral airline ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Microplastics pollute most remote and uncharted areas of the ocean ,"['plastics', 'pollution', 'environment']",environmental
Paris climate talks: what difference will temperature rises really make? ,"['environment', 'greenhouse gas emissions', 'climate change']",environmental
Scientists have beaten down the best climate denial argument | Dana Nuccitelli ,"['climate change', 'environment', 'climate change']",environmental
The country set to cash in on climate change ,"['climate change', 'environment']",environmental
EU moves to restrict hormone-disrupting chemical found in plastics ,"['plastics', 'environment']",environmental
"Climate crisis: business, farming and environment leaders unite to warn Australia 'woefully unprepared' ","['environment', 'climate change']",environmental
Superblocks to the rescue: Barcelona’s plan to give streets back to residents ,"['pollution', 'environment']",environmental
Almost 40% of Americans 'not too worried' about climate change ,"['climate change', 'climate change', 'environment']",environmental
"US Dept. of Agriculture has begun censoring use of the term 'climate change', emails reveal ","['environment', 'climate change', 'climate change']",environmental
Why modern life is making dementia in your 40s more likely | Colin Pritchard ,"['environment', 'pollution']",environmental
MPs call for 1p clothing tax and darning classes in schools to cut waste ,"['waste', 'environment']",environmental
"Melting Antarctic ice will raise sea level by 2.5 metres – even if Paris climate goals are met, study finds ","['climate change', 'greenhouse gas emissions', 'environment']",environmental
Second spell of air pollution to hit England and Wales this weekend ,"['pollution', 'environment']",environmental
"""My mother taught us that there is no such thing as single-use anything."" ","['recycling', 'plastics', 'environment']",environmental
David Attenborough and Barack Obama face-to-face in TV interview ,"['climate change', 'renewable energy', 'environment']",environmental
UK green energy investment halves after policy changes ,"['renewable energy', 'environment']",environmental
"Rising numbers of American believe climate science, poll shows ","['climate change', 'climate change', 'environment']",environmental
'We can either drive change or have it imposed on us': Labor's Mark Dreyfus blasts Joel Fitzgibbon on climate ,"['climate change', 'environment']",environmental
‘This is a wake-up call’: the villagers who could be Britain’s first climate refugees ,"['environment', 'climate change']",environmental
Camille Parmesan: ‘Trump’s extremism on climate change has brought people together’ ,"['climate change', 'climate change', 'environment']",environmental
Oil regulator to revise remit to address climate crisis ,"['environment', 'climate change', 'climate change']",environmental
Florida red tide sweeps away Republican Rick Scott's Senate poll lead ,"['pollution', 'environment']",environmental
Prince Charles in plan to help investors take polluting firms to court ,"['climate change', 'environment']",environmental
"Climate change impacts are already hitting us, say Europeans ","['climate change', 'climate change', 'environment', 'greenhouse gas emissions']",environmental
French minister warns of mass climate change migration if world doesn't act ,"['climate change', 'environment']",environmental
The five: genetic fixes for the climate crisis ,"['climate change', 'environment']",environmental
Britons urged not to spurn large Christmas turkeys amid Covid slump ,"['environment', 'waste']",environmental
Scientists fly glacial ice to south pole to unlock secrets of global warming ,"['environment', 'climate change', 'climate change']",environmental
The Anthropocene epoch: scientists declare dawn of human-influenced age ,"['climate change', 'pollution', 'waste', 'environment', 'climate change']",environmental
"No more beer, chocolate or coffee: how climate change could ruin your weekend ","['climate change', 'environment']",environmental
"Worst-case global warming scenarios not credible, says study ","['climate change', 'climate change', 'environment']",environmental
Milan local government bans traffic from city due to poor air quality ,"['pollution', 'environment']",environmental
Green really is the new black as Big Oil gets a taste for renewables ,"['renewable energy', 'greenhouse gas emissions']",environmental
I'm 18 and can already see my Alaska community changed forever by climate change ,"['climate change', 'environment']",environmental
The Observer view on the Tories’ shameful record on climate change | Observer editorial ,"['environment', 'climate change', 'climate change']",environmental
'Modern air is too clean': the rise of air pollution denial ,"['air pollution', 'environment']",environmental
UK hits clean energy milestone: 50% of electricity from low carbon sources ,"['greenhouse gas emissions', 'environment', 'renewable energy']",environmental
David Attenborough says it's 'extraordinary' climate deniers are in power in Australia ,"['climate change', 'environment', 'climate change']",environmental
Fossil fuel exports make Australia one of the worst contributors to climate crisis ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Microplastics in our mussels: the sea is feeding human garbage back to us ,"['plastics', 'environment']",environmental
Off the lamb: how to eat with a low carbon footprint ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Smart energy technology 'stymied by current policy' ,"['environment', 'renewable energy']",environmental
Germany and Austria call for higher EU 2030 climate ambition ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
What ‘rewilding’ really means for forestry and heather moorland | Letters ,"['environment', 'climate change', 'greenhouse gas emissions']",environmental
New 'real world' diesel tests fail to prevent rush hour pollution peak ,"['air pollution', 'pollution', 'environment']",environmental
Earth is 'experiencing a global warming spurt' ,"['climate change', 'climate change', 'environment']",environmental
World Bank to invest $200bn to combat climate change ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
"Vote who, go green? Parties diverge on how to save the planet ","['environment', 'climate change', 'greenhouse gas emissions', 'renewable energy']",environmental
UN climate talks open under shadow of US elections ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
NSW coal seam gas project suspended after dangerous chemicals detected ,"['environment', 'pollution']",environmental
Overcoming obstacles to access national parks | Letters ,"['environment', 'air pollution']",environmental
Gold in faeces 'is worth millions and could save the environment' ,"['waste', 'environment']",environmental
New study finds a hot spot in the atmosphere | John Abraham ,"['climate change', 'environment', 'climate change']",environmental
‘Moving a giraffe is a delicate process’: rising waters threaten Kenya's wildlife ,"['environment', 'climate change']",environmental
Welsh tidal lagoon project could open way for £15bn revolution in UK energy ,"['renewable energy', 'environment']",environmental
What to do with plastic wrapping on the Guardian’s Weekend magazine? | Letters ,"['plastics', 'recycling', 'environment', 'waste']",environmental
Half of child psychiatrists surveyed say patients have environment anxiety ,"['environment', 'climate change']",environmental
Banking on better forecasts: the new maths of weather prediction | Dr Hannah Christensen ,['climate change'],environmental
Budget cuts and collapse in tourism revenue pose 'severe' threat to nature ,"['environment', 'climate change']",environmental
"Australia endures hottest spring ever, with average temperatures more than 2C above average ","['climate change', 'environment']",environmental
"Hillary Clinton's climate change plan 'just plain silly', says leading expert ","['climate change', 'environment']",environmental
"Benefits to farmers of global heating outweighed by losses, says report ","['climate change', 'environment']",environmental
One person’s recycling won’t stop climate change in itself. We must act collectively | Emily Mulligan ,"['climate change', 'environment']",environmental
Plastic bag charge: is there really panic on the streets? ,"['environment', 'waste']",environmental
"What hypocrisy, I think guiltily, as I jet off to academic conferences far and wide | Jonathan Wolff ","['environment', 'climate change', 'greenhouse gas emissions']",environmental
An 81-year-old as shadow leader of the house? Hear hear | Patrick Barkham ,"['pollution', 'environment']",environmental
Isn’t it time creative types and sports stars did more to tackle #climatechange?  via @GuardianGDP,"['environment', 'climate change']",environmental
Deadly air in our cities: the invisible killer ,"['pollution', 'greenhouse gas emissions', 'environment']",environmental
Does the Bible really say that global warming will make the Earth ‘vomit us out’? | Andrew Brown ,"['climate change', 'environment']",environmental
Polar bears face starvation as they're unlikely to adapt to a land-based diet ,"['environment', 'climate change']",environmental
Gorgon LNG plant begins long-delayed carbon capture and storage project ,"['environment', 'greenhouse gas emissions', 'climate change']",environmental
"European commission guilty of 'negligence' over diesel defeat devices, says draft report ","['pollution', 'environment', 'air pollution']",environmental
VW shifts focus to electric cars with US expansion plan ,"['environment', 'greenhouse gas emissions']",environmental
Mumbai bans plastic bags and bottles ,"['plastics', 'environment']",environmental
"Drowning in Plastic review – a rallying cry, but is it too late? ","['plastics', 'environment']",environmental
"World is finally waking up to climate change, says 'hothouse Earth' author ","['environment', 'climate change', 'climate change']",environmental
This is how the world ends: will we soon see category 6 hurricanes? ,"['climate change', 'climate change', 'environment']",environmental
"$1tn could be wasted on 'unneeded' new coal plants, report warns ","['environment', 'pollution']",environmental
Denialism: what drives people to reject the truth ,"['climate change', 'environment', 'climate change']",environmental
Hacked emails reveal plan to counter Rupert Murdoch's climate denial ,"['climate change', 'environment']",environmental
Would you wear clothes made from rubbish? ,"['environment', 'recycling']",environmental
What role does nuclear power play in UK and what are alternatives? ,['renewable energy'],environmental
"Covid-19 lockdowns have improved global air quality, data shows ","['air pollution', 'pollution', 'environment']",environmental
Theresa May: It’s Britain’s duty to help nations hit by climate change ,"['climate change', 'environment', 'climate change', 'greenhouse gas emissions']",environmental
Using the big freeze to deny climate change... stupidity or cynicism? | Michael M Mann ,"['climate change', 'environment']",environmental
'Grow food on Mars': LA startups tackle climate change with inventive solutions ,"['climate change', 'environment']",environmental
"James Lovelock: ‘Before the end of this century, robots will have taken over’ ","['environment', 'renewable energy', 'climate change', 'climate change']",environmental
"Anti-bird tree spikes: we love cars so much, we destroy nature for them | Patrick Barkham ","['pollution', 'environment']",environmental
Greenpeace hits out at Davos banks for $1.4tn climate hypocrisy ,"['climate change', 'environment']",environmental
Europe's most deprived areas 'hit hardest by air pollution' ,"['pollution', 'environment']",environmental
UK water companies receive record sewage leak fines ,"['pollution', 'environment']",environmental
Weatherwatch: Arctic ice sheet engages combat submarines ,"['climate change', 'environment']",environmental
Third-hottest June puts 2017 on track to make hat-trick of hottest years ,"['climate change', 'climate change', 'environment', 'greenhouse gas emissions']",environmental
"Melting glacier? Yawn. Climate change is boring, worthy – and terrifying | Owen Jones ","['climate change', 'environment', 'climate change']",environmental
Fish for dinner? Your seafood might come with a side of plastic ,"['plastics', 'environment']",environmental
Frightened by Donald Trump? You don’t know the half of it | George Monbiot ,"['climate change', 'environment']",environmental
David Attenborough: A Life on Our Planet review – stark climate emergency warning ,"['environment', 'climate change']",environmental
US supreme court to hear challenge to EPA power-plant pollution regulations ,"['pollution', 'environment']",environmental
Fracking banned in UK as government makes major U-turn ,"['environment', 'greenhouse gas emissions', 'climate change']",environmental
"‘Huge mistake’: Britain throwing away lead in tidal energy, say developers ","['environment', 'renewable energy']",environmental
"Rise of electric car solves little if driven by fossil fuels, warns windfarm boss ","['renewable energy', 'environment']",environmental
'The cycling revolution could not happen sooner': readers discuss the future of cars in cities ,"['environment', 'climate change', 'greenhouse gas emissions', 'pollution']",environmental
"Boris Johnson, Scott Morrison: Are the Generation X leaders stuffing this up? | Brigid Delaney ","['climate change', 'environment']",environmental
"HS2 tunnel protest will be first of many, says activist ","['environment', 'climate change']",environmental
Australian government backs coal in defiance of IPCC climate warning ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Just 10 new community energy schemes registered after Tories cut subsidies ,"['renewable energy', 'environment']",environmental
Solar-powered trains are closer to reality than we might think ,"['environment', 'renewable energy']",environmental
Extinction Rebellion is a force for good | Observer letters ,"['climate change', 'climate change']",environmental
"Scrap gas pipeline in eastern Med due to climate cost, says report ","['climate change', 'greenhouse gas emissions', 'environment']",environmental
Revealed: top UK thinktank spent decades undermining climate science ,"['environment', 'climate change', 'climate change', 'greenhouse gas emissions']",environmental
The Californian craft beer brewed from waste water ,"['recycling', 'waste', 'environment']",environmental
Theresa May commits to net zero UK carbon emissions by 2050 ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
"'Sleeping giant' Arctic methane deposits starting to release, scientists find ","['climate change', 'climate change', 'environment', 'greenhouse gas emissions']",environmental
Air pollution linked to changes in heart structure ,"['air pollution', 'environment']",environmental
"UK must move now on carbon capture to save consumers billions, says report ","['environment', 'greenhouse gas emissions', 'climate change']",environmental
Caroline Lucas urges parliament to 'seriously consider' tax on meat ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Car-free neighbourhoods: the unlikely new frontline in the culture wars ,"['pollution', 'environment']",environmental
"UK wave power far too costly, warns energy research body ","['environment', 'renewable energy', 'greenhouse gas emissions', 'climate change']",environmental
Covid-19 has given us the chance to build a low-carbon future | Christiana Figueres ,"['environment', 'climate change', 'greenhouse gas emissions']",environmental
"Government 'phenomenally complacent' over VW scandal, say MPs ","['greenhouse gas emissions', 'climate change', 'environment']",environmental
'Biggest compliment yet': Greta Thunberg welcomes oil chief's 'greatest threat' label ,"['environment', 'climate change']",environmental
The Guardian view on the heatwave: still hope on climate change | Editorial ,"['climate change', 'environment', 'climate change', 'renewable energy', 'greenhouse gas emissions']",environmental
"UK, Germany and France lobbying for weakened cap on toxic car pollution ","['pollution', 'environment']",environmental
Helen Clark: ‘Davos must look at how war and climate change affect poverty’ ,"['climate change', 'environment']",environmental
The Guardian view on trade after Brexit: a new cliff edge looms | Editorial ,"['greenhouse gas emissions', 'environment']",environmental
Cash injection: could we cure all disease with a trillion dollars? ,"['air pollution', 'climate change', 'climate change']",environmental
Labour party pledges to ban sale of non-electric cars by 2030 ,['climate change'],environmental
Waste crisis: Victoria offers businesses $96.5m to process recycling ,"['recycling', 'environment', 'waste']",environmental
'Hollow words': why there'll be a fight over EU's plans to deal with our waste ,"['waste', 'environment']",environmental
UK air pollution still down despite return to normal traffic – study ,"['air pollution', 'environment', 'climate change']",environmental
"One nation, two tribes: opposing visions of US climate role on show in Bonn ","['environment', 'climate change', 'greenhouse gas emissions']",environmental
Ed Davey backs divestment from 'very risky' coal assets ,"['climate change', 'environment']",environmental
Hundreds of US mayors vow not to 'wait for' Trump to fight climate change ,"['renewable energy', 'environment']",environmental
"More voters think Australia not doing enough on climate, Guardian Essential poll shows ","['climate change', 'environment', 'greenhouse gas emissions']",environmental
China's coal peak hailed as turning point in climate change battle ,"['environment', 'pollution', 'climate change']",environmental
Poor states ‘need extra cash to combat climate crisis threats’ ,"['climate change', 'environment']",environmental
"UK throwing away £13bn of food each year, latest figures show ","['waste', 'recycling', 'environment']",environmental
UK chips an inch shorter after summer heatwave – report ,"['climate change', 'environment']",environmental
Century-old Antarctic journal reveals survival and sexed-up penguins ,"['environment', 'climate change', 'climate change']",environmental
"Worried your child's London nursery, school or college is exposed to toxic air? Use this quick tool to check ","['pollution', 'environment', 'air pollution']",environmental
US and Chinese companies dominate list of most-polluting coal plants ,"['environment', 'climate change', 'greenhouse gas emissions', 'pollution']",environmental
